iter	Passed	Remaining
0	0	95
1	1	96
2	3	102
3	3	95
4	4	92
5	7	109
6	8	108
7	9	105
8	10	109
9	11	104
10	12	99
11	13	96
12	13	93
13	14	89
14	15	86
15	16	84
16	17	83
17	18	84
18	19	82
19	20	80
20	20	78
21	21	76
22	22	74
23	23	72
24	24	73
25	25	72
26	26	70
27	26	69
28	27	67
29	28	65
30	28	64
31	29	63
32	30	61
33	31	60
34	32	59
35	32	58
36	34	58
37	34	56
38	35	55
39	36	54
40	37	53
41	37	52
42	38	51
43	39	50
44	40	49
45	41	48
46	42	47
47	42	46
48	43	45
49	44	44
50	44	43
51	45	42
52	46	41
53	47	40
54	48	39
55	48	38
56	49	37
57	50	36
58	51	35
59	51	34
60	52	33
61	53	32
62	53	31
63	54	30
64	55	29
65	56	28
66	56	27
67	57	27
68	58	26
69	58	25
70	59	24
71	60	23
72	61	22
73	62	21
74	63	21
75	64	20
76	65	19
77	66	18
78	66	17
79	67	16
80	68	16
81	69	15
82	69	14
83	70	13
84	71	12
85	71	11
86	72	10
87	74	10
88	75	9
89	75	8
90	77	7
91	78	6
92	79	5
93	80	5
94	80	4
95	81	3
96	82	2
97	82	1
98	83	0
99	84	0
