iter	Passed	Remaining
0	167	167487
1	170	85249
2	173	57751
3	178	44323
4	180	35891
5	183	30408
6	187	26565
7	190	23571
8	194	21410
9	197	19517
10	199	17942
11	202	16689
12	206	15668
13	208	14709
14	210	13838
15	212	13080
16	215	12445
17	217	11870
18	219	11330
19	222	10895
20	226	10545
21	228	10151
22	233	9909
23	235	9587
24	238	9284
25	240	8993
26	242	8740
27	245	8526
28	247	8275
29	249	8051
30	251	7850
31	252	7637
32	253	7437
33	255	7248
34	256	7066
35	257	6887
36	258	6735
37	259	6579
38	260	6426
39	262	6290
40	263	6152
41	264	6022
42	264	5894
43	265	5775
44	266	5657
45	267	5542
46	267	5433
47	268	5328
48	269	5226
49	269	5129
50	270	5035
51	271	4947
52	272	4875
53	273	4796
54	274	4719
55	275	4643
56	276	4571
57	277	4504
58	278	4441
59	279	4383
60	280	4319
61	281	4256
62	282	4197
63	282	4137
64	283	4079
65	284	4022
66	285	3969
67	286	3928
68	287	3880
69	288	3830
70	289	3783
71	290	3739
72	290	3695
73	291	3649
74	292	3605
75	293	3563
76	293	3520
77	294	3479
78	294	3438
79	295	3399
80	296	3360
81	296	3323
82	297	3282
83	297	3246
84	298	3212
85	299	3178
86	301	3161
87	302	3138
88	303	3109
89	304	3081
90	305	3052
91	306	3024
92	307	2996
93	308	2970
94	308	2941
95	309	2913
96	310	2886
97	310	2859
98	311	2832
99	311	2806
100	312	2781
101	313	2756
102	313	2731
103	314	2710
104	316	2694
105	317	2675
106	318	2654
107	318	2633
108	319	2615
109	320	2594
110	321	2574
111	322	2553
112	322	2534
113	323	2514
114	324	2494
115	324	2476
116	325	2457
117	326	2439
118	326	2420
119	327	2402
120	328	2388
121	330	2376
122	331	2360
123	332	2346
124	333	2333
125	334	2317
126	334	2301
127	335	2285
128	336	2271
129	337	2256
130	337	2240
131	338	2225
132	339	2210
133	339	2195
134	340	2181
135	341	2168
136	342	2154
137	342	2141
138	346	2146
139	348	2143
140	350	2134
141	351	2123
142	353	2116
143	353	2103
144	355	2094
145	355	2082
146	356	2069
147	357	2057
148	358	2046
149	361	2045
150	361	2034
151	363	2027
152	364	2017
153	366	2011
154	367	2000
155	367	1990
156	368	1979
157	369	1968
158	370	1958
159	370	1947
160	371	1935
161	372	1926
162	375	1928
163	376	1921
164	379	1918
165	380	1911
166	381	1903
167	383	1897
168	384	1888
169	384	1879
170	385	1869
171	386	1860
172	388	1856
173	390	1851
174	391	1844
175	392	1839
176	394	1832
177	395	1826
178	396	1817
179	397	1808
180	398	1802
181	399	1795
182	400	1786
183	401	1779
184	402	1771
185	404	1769
186	405	1762
187	407	1757
188	409	1755
189	409	1747
190	411	1741
191	411	1733
192	412	1725
193	413	1717
194	414	1709
195	415	1704
196	416	1696
197	417	1690
198	419	1689
199	420	1682
200	421	1676
201	424	1677
202	425	1671
203	426	1665
204	427	1659
205	428	1652
206	429	1647
207	430	1640
208	431	1634
209	433	1630
210	434	1625
211	436	1623
212	437	1617
213	438	1612
214	439	1605
215	440	1598
216	441	1591
217	441	1584
218	442	1577
219	442	1570
220	443	1563
221	444	1556
222	444	1550
223	445	1545
224	448	1546
225	450	1541
226	451	1538
227	452	1533
228	453	1526
229	454	1521
230	455	1515
231	456	1510
232	456	1503
233	457	1497
234	458	1491
235	458	1485
236	459	1480
237	461	1478
238	462	1472
239	463	1467
240	464	1462
241	465	1458
242	466	1452
243	467	1447
244	467	1441
245	468	1436
246	469	1431
247	470	1425
248	471	1421
249	471	1415
250	472	1410
251	473	1405
252	474	1400
253	475	1397
254	476	1393
255	477	1388
256	478	1383
257	479	1379
258	480	1374
259	481	1369
260	482	1365
261	483	1360
262	484	1356
263	484	1351
264	485	1346
265	486	1341
266	486	1336
267	487	1331
268	488	1326
269	489	1322
270	491	1321
271	492	1317
272	492	1312
273	494	1309
274	495	1306
275	496	1303
276	498	1300
277	499	1296
278	499	1291
279	500	1287
280	501	1283
281	502	1278
282	502	1274
283	503	1269
284	505	1267
285	506	1264
286	507	1260
287	508	1256
288	509	1253
289	510	1249
290	510	1244
291	512	1241
292	512	1237
293	513	1233
294	514	1229
295	515	1225
296	516	1221
297	516	1217
298	517	1213
299	520	1215
300	522	1212
301	522	1208
302	523	1205
303	525	1202
304	526	1199
305	527	1196
306	528	1192
307	528	1188
308	529	1184
309	530	1180
310	530	1176
311	531	1172
312	532	1168
313	532	1164
314	535	1163
315	536	1160
316	536	1156
317	537	1152
318	538	1148
319	538	1144
320	539	1141
321	540	1137
322	541	1134
323	541	1130
324	542	1126
325	543	1123
326	543	1119
327	544	1115
328	545	1112
329	546	1109
330	547	1105
331	548	1102
332	548	1099
333	549	1096
334	550	1092
335	551	1089
336	551	1085
337	552	1082
338	553	1078
339	553	1075
340	554	1072
341	555	1068
342	556	1065
343	557	1062
344	558	1059
345	558	1056
346	559	1052
347	560	1049
348	560	1045
349	561	1042
350	562	1039
351	563	1036
352	564	1034
353	565	1031
354	565	1028
355	566	1024
356	567	1021
357	567	1018
358	569	1016
359	570	1013
360	570	1010
361	571	1007
362	572	1004
363	573	1001
364	573	998
365	574	995
366	575	992
367	576	989
368	576	986
369	577	983
370	579	981
371	579	979
372	580	976
373	581	973
374	582	970
375	582	966
376	583	964
377	584	962
378	585	959
379	586	956
380	587	954
381	588	951
382	588	948
383	589	946
384	590	943
385	591	940
386	592	937
387	593	936
388	594	934
389	595	931
390	596	928
391	596	925
392	597	923
393	598	920
394	599	917
395	599	915
396	600	912
397	601	909
398	602	906
399	602	904
400	603	901
401	604	898
402	604	896
403	605	893
404	606	890
405	606	888
406	608	886
407	609	883
408	609	881
409	610	878
410	611	875
411	612	873
412	612	870
413	613	868
414	614	865
415	614	862
416	615	860
417	616	857
418	616	855
419	617	852
420	618	851
421	619	848
422	620	846
423	620	843
424	621	840
425	622	838
426	623	836
427	624	834
428	624	831
429	625	829
430	626	827
431	627	824
432	627	822
433	628	819
434	629	817
435	629	814
436	630	812
437	631	809
438	631	807
439	632	805
440	633	802
441	633	800
442	634	797
443	635	795
444	635	793
445	636	791
446	638	789
447	639	787
448	639	785
449	640	782
450	641	780
451	641	778
452	642	776
453	643	773
454	644	771
455	645	769
456	645	767
457	646	765
458	647	762
459	647	760
460	648	758
461	649	755
462	649	753
463	650	751
464	651	749
465	653	748
466	654	746
467	654	744
468	655	742
469	656	739
470	656	737
471	657	735
472	658	733
473	658	730
474	659	728
475	659	726
476	660	724
477	661	722
478	661	719
479	662	717
480	663	715
481	663	713
482	664	711
483	665	709
484	666	707
485	667	705
486	667	703
487	668	701
488	669	699
489	669	697
490	670	695
491	671	693
492	671	690
493	672	688
494	673	686
495	673	684
496	674	682
497	675	680
498	675	678
499	676	676
500	676	674
501	677	672
502	678	670
503	678	668
504	679	665
505	679	663
506	680	661
507	681	660
508	682	658
509	682	656
510	683	653
511	683	651
512	684	650
513	685	648
514	685	646
515	686	644
516	687	641
517	687	640
518	688	638
519	689	636
520	690	634
521	690	632
522	691	630
523	692	628
524	692	626
525	693	625
526	694	623
527	695	621
528	696	620
529	697	618
530	697	616
531	698	614
532	699	612
533	700	610
534	700	609
535	701	607
536	701	605
537	702	603
538	703	601
539	704	599
540	704	597
541	705	595
542	706	594
543	706	592
544	707	590
545	707	588
546	708	586
547	709	584
548	709	583
549	711	581
550	712	580
551	712	578
552	713	576
553	714	575
554	714	573
555	715	571
556	716	569
557	717	568
558	718	566
559	719	565
560	720	563
561	720	561
562	721	560
563	722	558
564	722	556
565	723	554
566	724	553
567	725	551
568	726	550
569	726	548
570	727	546
571	728	544
572	728	543
573	729	541
574	730	539
575	730	538
576	731	536
577	732	534
578	732	532
579	733	531
580	734	529
581	734	527
582	735	526
583	736	524
584	736	522
585	737	520
586	738	519
587	738	517
588	739	516
589	740	514
590	741	513
591	742	511
592	742	509
593	743	508
594	744	506
595	745	505
596	745	503
597	746	501
598	747	500
599	747	498
600	748	496
601	749	495
602	749	493
603	750	492
604	751	490
605	751	488
606	752	487
607	753	485
608	753	484
609	754	482
